"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"11/18/2024 1 a.m. EST",27906,19246,26598,20446,76405,66499,10465,41827,13689,19622,10777,14336,48084
US48,"11/18/2024 2 a.m. EST",27015,18969,25891,19161,75190,64461,10409,40231,13334,19440,10271,14003,45699
US48,"11/18/2024 3 a.m. EST",26791,18894,25487,18417,74652,63027,10532,38698,13093,19186,9964,13854,44421
US48,"11/18/2024 4 a.m. EST",26255,19190,25389,18160,73908,62201,10576,37552,13017,19280,9844,13641,43361
US48,"11/18/2024 5 a.m. EST",25963,19935,25423,18508,74909,62013,10899,36723,13236,19385,9801,13873,42899
US48,"11/18/2024 6 a.m. EST",25602,21584,25894,19873,78301,63862,11477,36782,14008,20110,9916,14368,43516
US48,"11/18/2024 7 a.m. EST",25071,24045,27064,22029,84828,68138,12538,37438,15428,22097,10328,15595,45478
US48,"11/18/2024 8 a.m. EST",25056,24948,29014,23272,88960,73624,13363,39197,16357,23379,11054,16754,48331
US48,"11/18/2024 9 a.m. EST",25450,24464,30352,24194,88482,76175,13038,42556,16246,22832,12121,16946,49843
US48,"11/18/2024 10 a.m. EST",27317,23574,30749,25360,86790,77129,11679,45531,15621,22207,12320,16876,50588
US48,"11/18/2024 11 a.m. EST",29784,23044,31158,26589,85582,77688,10958,46966,15205,21989,11395,16944,51252
US48,"11/18/2024 12 p.m. EST",31717,22710,31474,27910,84855,78447,10499,47558,14969,22393,10620,17080,51609
US48,"11/18/2024 1 p.m. EST",32965,22542,31592,29063,85427,79225,10672,47422,14972,22607,10206,17241,52091
US48,"11/18/2024 2 p.m. EST",32537,22533,31597,30077,85810,79587,11052,46757,15197,22996,9968,17395,52494
US48,"11/18/2024 3 p.m. EST",31695,22515,31458,30570,85781,79877,11910,46265,15649,23149,9952,17460,52957
US48,"11/18/2024 4 p.m. EST",31079,22521,31254,30742,85466,79024,12976,45811,16531,23271,9774,17521,53184
US48,"11/18/2024 5 p.m. EST",30378,22821,30896,30864,87422,78849,14093,45595,17579,23884,10007,17305,52901
US48,"11/18/2024 6 p.m. EST",30052,23957,30992,31545,91052,80087,14817,45283,18347,24822,10394,17527,52320
US48,"11/18/2024 7 p.m. EST",29787,24566,31532,32268,91181,81876,14611,46235,18125,25607,11017,18209,51761
US48,"11/18/2024 8 p.m. EST",29745,24151,31619,31312,89784,81312,14122,48462,17735,25331,12194,17903,51436
US48,"11/18/2024 9 p.m. EST",31726,23442,31137,29955,87656,79799,13464,49381,17099,24918,12553,17648,50340
US48,"11/18/2024 10 p.m. EST",33810,22377,30562,28157,84697,77627,12740,48995,16289,23860,12453,17234,48917
US48,"11/18/2024 11 p.m. EST",33642,20947,29668,26048,81226,75259,12176,48138,15397,22624,12308,16464,47352
US48,"11/19/2024 12 a.m. EST",32972,19738,28459,23548,78406,72621,11344,46748,14482,21148,11861,15470,44856
US48,"11/19/2024 1 a.m. EST",32211,18956,27308,21550,76120,69786,11231,44684,13843,20527,11281,14619,42544
US48,"11/19/2024 2 a.m. EST",31085,18662,26634,20060,74306,67387,11108,42643,13454,20196,10836,14128,40606
US48,"11/19/2024 3 a.m. EST",29829,18516,26308,19159,73639,65928,10948,40915,13246,19684,10496,13674,39457
US48,"11/19/2024 4 a.m. EST",28350,18714,26176,18693,73429,65061,10971,40201,13225,19599,10267,13545,38748
US48,"11/19/2024 5 a.m. EST",28273,19331,26258,18859,84962,64880,11154,39643,13494,19768,10340,13695,38390
US48,"11/19/2024 6 a.m. EST",27251,20720,26677,19059,77152,65230,11457,39756,14349,20405,10490,13967,38873
US48,"11/19/2024 7 a.m. EST",26602,22995,27782,22334,83252,68901,12580,40244,15823,21918,10860,15024,40466
US48,"11/19/2024 8 a.m. EST",26679,23892,29847,23502,87307,74009,13073,41623,16642,22874,11598,16157,43309
US48,"11/19/2024 9 a.m. EST",26860,23787,30859,24576,87246,76240,12025,44374,16368,22665,12509,16561,44308
US48,"11/19/2024 10 a.m. EST",28284,23489,30826,26041,86665,76877,11024,47492,15849,22795,12597,16783,44514
US48,"11/19/2024 11 a.m. EST",30823,23354,30650,27449,86901,77195,10332,48668,15434,23204,11628,16792,45092
US48,"11/19/2024 12 p.m. EST",32104,23245,30655,28913,86483,77342,10207,48404,15204,23624,10733,17164,45705
US48,"11/19/2024 1 p.m. EST",32961,23052,30550,30396,86468,77907,10265,47603,15134,23893,10087,17142,46588
US48,"11/19/2024 2 p.m. EST",32346,23032,30446,31473,86194,78095,10873,46658,15505,24220,9855,17337,47767
US48,"11/19/2024 3 p.m. EST",31818,22835,30504,32099,85307,78571,11599,46477,16057,24494,9706,17164,48986
US48,"11/19/2024 4 p.m. EST",30961,22909,30534,32197,85673,78471,12970,46099,16890,24510,9664,17217,50276
US48,"11/19/2024 5 p.m. EST",30246,23314,30479,32046,87719,78481,14253,46236,17775,24435,9892,17273,51303
US48,"11/19/2024 6 p.m. EST",30268,24616,30816,32570,91322,79486,14956,46261,18454,25424,10421,17489,51639
US48,"11/19/2024 7 p.m. EST",30699,24912,31575,32947,91540,81026,14810,47438,18281,25767,11285,18004,50689
US48,"11/19/2024 8 p.m. EST",30794,24478,31891,31910,90223,80166,14421,48206,17884,25556,12140,17934,50414
US48,"11/19/2024 9 p.m. EST",32564,23762,31626,30602,87956,78433,13790,50028,17289,25010,12501,17605,48800
US48,"11/19/2024 10 p.m. EST",33893,22617,31223,28906,84563,76519,13021,49235,16535,23889,12429,17203,47141
US48,"11/19/2024 11 p.m. EST",33547,21093,30477,26791,80405,73738,12046,47812,15513,22527,12300,16252,45534
US48,"11/20/2024 12 a.m. EST",32976,19699,29437,24374,77360,70973,11225,46014,14492,21177,11995,15185,43339
